
> print(pred_classes)
        [,1]
 [958,]    5
 [959,]    3
 [960,]    4
 [961,]    9
 [962,]    4
 [963,]    6
 [964,]    5
 [965,]    7
 [966,]    1
 [967,]    3
 [968,]    7
 [969,]    8
 [970,]    5
 [971,]    9
 [972,]    3
 [973,]    3
 [974,]    8
 [975,]    7
 [976,]    0
 [977,]    6
 [978,]    8
 [979,]    1
 [980,]    0
 [981,]    0
 [982,]    5
 [983,]    1
 [984,]    7
 [985,]    7
 [986,]    0
 [987,]    2
 [988,]    0
 [989,]    0
 [990,]    5
 [991,]    5
 [992,]    0
 [993,]    8
 [994,]    2
 [995,]    6
 [996,]    4
 [997,]    2
 [998,]    9
 [999,]    1
[1000,]    9

> sink()
